Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
Two Light Wall Sconce,545292,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/545292.jpg,,"36""","11""",,,,,,,2,13W,Gu-24,Fluorescent,,120V,,Cottage Bronze,,,,"4""",UPS,Yes,,,,,,
Two Light Wall Sconce,520214,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/520214.jpg,,"36""","11""",,,,5.5lb,,,2,60W,E12 Candelabra,,,120V,,Cottage Bronze,,,,"4""",UPS,,,,,,,
One Light Wall Sconce,513058,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/513058.jpg,"Warm yet contemporary, this collection boasts gracefully sculptured metalwork. The antique bronze finish is paired with amber scavo glass for a soft effect, while the tarnished silver finish is complemented by white faux-alabaster glass. Includes easily r","38""","16""",,White,,12lb,,,1,13.5W,Medium,LED,,,,Tarnished Silver,,,,"8""",,,,,,800lm,,
One Light Wall Sconce,513057,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/513057.jpg,"Warm yet contemporary, this collection boasts gracefully sculptured metalwork. The antique bronze finish is paired with amber scavo glass for a soft effect, while the tarnished silver finish is complemented by white faux-alabaster glass. Includes easily r","38""","16""",,Amber,,12lb,,,1,13.5W,Medium,LED,,,,Antique Brass,,,,"8""",,,,,,800lm,,
Two Light Wall Sconce,506820,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/506820.jpg,"Layers of shapely wrought iron leaves are finished in English bronze, forming this stunning sconce. The tailored elegance of the shimmering florals are perfect for a traditional home though are versatile enough to be incorporated into any design. While perfect for a bedroom, living area, or kitchen, it can be used anywhere you want to add a bit of glam.","24.5""","8.5""",,Organza,,2lb,N/A,"8""",2,60W,Candelabra,,,,,English Bronze,,,,"4.5""",UPS,,,,,,,"4.75""W x 7'`H x 0.75``D"
One Light Wall Sconce,430006,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/430006.jpg,,"48""","6""",,,,5.06lb,,,1,60W,E12 Candelabra,,,120V,,Pompeii Bronze,,,,"7.25""",,,,,,,,"6"""
One Light Wall Sconce,428149,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/428149.jpg,"These dramatic torchiere style wall sconces cast a warm, inviting light. Each sconce has a highly detailed frame with a rich, multi-layered finish and a unique shade that compliments the design.","29""","8""",,,,4lb,,,1,60W,Candelabra,,,,,Gold Leaf,,,,"6""",,,,,,,,
One Light Wall Sconce,428146,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/428146.jpg,"These dramatic torchiere style wall sconces cast a warm, inviting light. Each sconce has a highly detailed frame with a rich, multi-layered finish and a unique shade that compliments the design.","32""","6""",,,,6lb,,,1,60W,Candelabra,,,,,Antique Gold,,,,"4""",,,,,,,,
Two Light Wall Sconce,428145,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/428145.jpg,"These dramatic torchiere style wall sconces cast a warm, inviting light. Each sconce has a highly detailed frame with a rich, multi-layered finish and a unique shade that compliments the design.","29""","8""",,,,5lb,,,2,60W,Candelabra,,,,,Dark Rust,,,,"6""",,,,,,,,
One Light Wall Sconce,409815,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/409815.jpg,Sconce in hand painted driftwood finish on metal with silver leafed accents and hand-blown seedy glass shade.,"63""","7""",,Hand-blown seedy,Dry,12lb,,,1,60W,Candelabra,,,,,Other Dark,,,,"9""",,,B-10,,,,,
