Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
LED Landscape,627757,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627757.jpg,12V 4W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 10 degree spot.,"11""","6.5""","6.5""",,Wet,4lb,,,1,3.8W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,40000,
LED Landscape,627756,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627756.jpg,12V 4W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 10 degree spot.,"11""","6.5""","6.5""",,Wet,4lb,,,1,3.8W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED Accent,627523,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627523.jpg,,"2""","2""",,,Wet,,,,,,,LED,,12V,,Stainless Steel,,,,,UPS,,,,,,,
LED Accent,627522,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627522.jpg,,"2""","2""",,,Wet,,,,,,,LED,,12V,,Stainless Steel,,,,,UPS,,,,,,,
One Light In-Ground,561327,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/561327.jpg,36-WATT PAR 36 WELL LIGHT - Versatile design with reversible support sleeve to accommodate uplighting when flush mounted or angled lighting effects when semi-recessed. Stainless steel yolk design holds lamp securely at desired angle. Includes 12 fixtures,"8""","5.5""",,,,,,"42""",1,36W,SCTM,,,12V,,Black Material,,,,,UPS,,,,,,,
One Light Landscape,454408,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/362615.jpg,"Low-voltage LED landscape well light with a glass lens and epoxy powder painted Black finish. Use for accent lighting of building facade, trees, statues and small flag poles. Must be wired to a 12V transformer of proper capacity.","4""","5""",,,Wet,2lb,,"48""",1,3W,,LED,,12V,1 year warranty,Black,,,,,,Yes,,3000K,,186lm,,
One Light Landscape,453105,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/220608.jpg,Cast aluminum adjustable low voltage well light. Inconspicuous up light adjusts to 45 from its conceaLED in-ground installation. Clear glass lens. Twist off cover for easy relamping. (Requires external transformer). Well sleeve is made of 1/4 inch thick PVC pipe. 12-volt.,"8.5""","3.5""",,Tempered,Wet,,,"36""",1,50W,,,,12V,1 year warranty,Black,,,,,,,MR-16,,,,,
LED Well Light,450704,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/438448.jpg,LED Well 60 degree wide flood light - LED technology in a versatile design with reversible support sleeve to accommodate uplighting when flush mounting or angled lighting are desired in a semi-recessed application.,"8""","5.75""",,,Wet,,,"24""",3,,,LED,,12V,,Textured Black,,,,,UPS,Yes,,,,,,
LED Well Light,450627,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/438447.jpg,Led Well Light - 4.5 Watt 35 Degree Flood Led Technology In A Versatile Design With Reversible Support Sleeve To Accommodate Uplighting When Flush Mounting Or Angled Lighting Are Desired In A Semi-Recessed Application. Fully Adjustable.,"8""","5.75""",,,Wet,,,"24""",3,,,LED,,12V,,Textured Black,,,,,UPS,Yes,,,,,,
LED Well Light,450626,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/438446.jpg,LED WELL LIGHT - 4.5 watt 10 degree spot LED technology in a versatile design with reversible support sleeve to accommodate uplighting when flush mounting or angled lighting are desired in a semi-recessed application. Fully adjustable.,"8""","5.75""",,,Wet,,,"24""",3,,,LED,,12V,,Textured Black,,,,,UPS,Yes,,,,,,
LED In-Ground,450622,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/438442.jpg,LED WELL LIGHT - WIDE SPREAD - LED technology in a versatile design with reversible support sleeve to accommodate uplighting when flush mounted or angled lighting effects when semi-recessed. Sleeve provides in-ground support.,"8""","5.75""",,,Wet,,,"24""",9,10W,,LED,,12V,,Textured Black,,,,,UPS,Yes,LED,,,,,
LED In-Ground,450621,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/438441.jpg,LED WELL LIGHT - MEDIUM SPREAD - LED technology in a versatile design with reversible support sleeve to accommodate uplighting when flush mounted or angled lighting effects when semi-recessed. Sleeve provides in-ground support.,"8""","5.75""",,,Wet,,,"24""",9,10W,,LED,,12V,,Textured Black,,,,,UPS,Yes,LED,,,,,
Well Light Pour Kit,450024,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/450024.jpg,PAR38 Well Light Concrete Pour Kit - Injection molded concrete pour kit,"5.19""","7.2""",,,,,,,,,,,,,,Architectural Bronze,,,,,UPS,,,,,,,
LED Well Light,449843,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/394855.jpg,LED WELL LIGHT - 12.4 watt 10 degree spot LED technology in a versatile design with reversible support sleeve to accommodate uplighting when flush mounting or angled lighting are desired in a semi-recessed application. Fully adjustable.,"8""","5.75""",,,Wet,,,"24""",9,10W,,LED,,12V,,Textured Black,,,,,UPS,Yes,,,,,,
LED Well Light,449832,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/394854.jpg,LED WELL LIGHT - 8.5 watt 10 degree spot LED technology in a versatile design with reversible support sleeve to accommodate uplighting when flush mounting or angled lighting are desired in a semi-recessed application. Fully adjustable.,"8""","5.75""",,,Wet,,,"24""",6,7W,,LED,,12V,,Textured Black,,,,,UPS,Yes,,,,,,
One Light In-Ground,447947,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/447947.jpg,SMALL IN GROUND - Smaller 7in. diameter in-ground light designed for use with PAR20 and PAR30 lamps.,"8.25""","7""",,Tempered,Wet,5lb,,,1,75W,Medium,Incandescent,,120V,,Architectural Bronze,,,,,UPS,,PAR-30,,,,,
One Light Well Light,447946,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/447946.jpg,IN GROUND 70-W MH QUAD-TAP - 70-W metal halide in-ground light. Adjustable to 150 angle. Use with blue filter 15626 to intensify green color in the landscape.,"13.11""","9.63""",,Clear Glass,Wet,15.5lb,,,1,70W,Medium,HID-MH,,120V,,Architectural Bronze,,,,,UPS,,PAR38,,,,,
One Light In-Ground,447379,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/447379.jpg,50-WATT PAR 36 WELL LIGHT - Flush mounted or angled uplighting effects when semi-recessed.,,"6""","8""",,Wet,,,"42""",1,50W,SCTM,,,12V,,Black Material,,,,,UPS,Yes,PAR36,,,,,
One Light In-Ground,447207,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/447207.jpg,"10in. diameter, 70-W. metal halide in-ground light. Adjustable to 150 angle. Use with blue filter 15626 to intensify green color in the landscape.","13.11""","9.63""",,Tempered Convex Clear Glass,Wet,13.65lb,,"13""",1,70W,Medium,,,120V,,Architectural Bronze,,,,,UPS,,PAR30,,,,,
One Light In-Ground,447206,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/447206.jpg,7in. downlight for below horizontal effects with wide light spread. Available as surface or tree-mounted.,"13.11""","9.63""",,Tempered Convex Clear Glass,Wet,10.95lb,,"13""",1,35W,Medium,,,120V,,Architectural Bronze,,,,,UPS,,PAR 20,,,,,
One Light In-Ground,446768,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/BA15192BK.jpg,MR-16 MINI WELL LIGHT WITH COWL - Same as 15190 with added glare shield for optimal viewing comfort. recommended for salt air environments.,"4.1""","4.1""","6.3""",Heat Resistant Convex Clear Glass,,1.5lb,,"36""",1,35W,BIPI,Halogen,,12V,,Black Material,,,,,UPS,,MR16,,,,,
One Light In-Ground,446728,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/446728.jpg,"WELL LIGHT - 10in. diameter, 150-W. incandescent in-ground light. Adjustable to 150 Use with blue filter 15626 to intensify green color in the landscape.","13.11""","9.63""",,Tempered Convex Clear Glass,Wet,8lb,,"13""",1,150W,Medium,,,120V,,Architectural Bronze,,,,,UPS,,PAR38,,,,,
In-Ground,446616,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/446616.jpg,50-WATT PAR 36 WELL LIGHT - Completely sealed well light creates unique lighting effects when used with Rock Guard/Glare Shield accessory (15694 AZ).,"8.25""","7""","8""",Heat Resistant Convex Clear Glass,,,,"34""",1,50W,,,,12V,,Architectural Bronze,,,,,UPS,,PAR 36,,,,,
One Light In-Ground,446615,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/446615.jpg,MR-16 MINI WELL LIGHT - Smaller version of our popular standard well light to shed focused upwards illumination on special features in the landscape. Recommended for salt air environments.,"5""","4""",,Heat Resistant Convex Clear Glass,,,,"36""",1,50W,BIPI,,,12V,,Black Material,,,,,UPS,,MR-16,,,,,
One Light In-Ground,446551,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/446551.jpg,MR-16 WELL LIGHT - Versatile design with reversible support sleeve to accommodate uplighting when flush mounted or angled lighting effects when semi-recessed. Heavy-duty polypropylene sleeve provides in-ground support.,"8""","5.5""",,Heat Resistant Clear Flat Glass,,,,"38""",1,50W,BIPI,,,12V,,Textured Black,,,,,UPS,,MR-16,,,,,
One Light In-Ground,446550,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/446550.jpg,36-WATT PAR 36 WELL LIGHT - Versatile design with reversible support sleeve to accommodate uplighting when flush mounted or angled lighting effects when semi-recessed. Stainless steel yolk design holds lamp securely at desired angle.,"8""","5.5""","6.75""",,,,,"42""",1,36W,SCTM,,,12V,,Black (painted),,,,,UPS,,PAR 36,,,,,
